file_path	sentence	caption
E:/combine/000000.wav	printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the exhibition	A female speaking English with neutral emotion
E:/combine/000001.wav	in being comparatively modern.	A female speaking English with neutral emotion
E:/combine/000002.wav	for although the chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the netherlands, by a similar process	A female speaking English with neutral emotion
E:/combine/000003.wav	produced the block books, which were the immediate predecessors of the true printed book,	A female speaking English with neutral emotion
E:/combine/000004.wav	the invention of movable metal letters in the middle of the fifteenth century may justly be considered as the invention of the art of printing.	A female speaking English with neutral emotion
E:/combine/000005.wav	and it is worth mention in passing that, as an example of fine typography,	A female speaking English with neutral emotion
E:/combine/000006.wav	the earliest book printed with movable types, the gutenberg, or forty-two line bible of about fourteen fifty-five,	A female speaking English with neutral emotion
E:/combine/000007.wav	has never been surpassed.	A female speaking English with neutral emotion
E:/combine/000008.wav	printing, then, for our purpose, may be considered as the art of making books by means of movable types.	A female speaking English with neutral emotion
E:/combine/000009.wav	now, as all books not primarily intended as picture-books consist principally of types composed to form letterpress,	A female speaking English with neutral emotion
E:/combine/013100.wav	卡尔普陪外孙玩滑梯.	A female speaking Chinese with neutral emotion
E:/combine/013101.wav	假语村言别再拥抱我.	A female speaking Chinese with neutral emotion
E:/combine/013102.wav	宝马配挂跛骡鞍,貂蝉怨枕董翁榻.	A female speaking Chinese with neutral emotion
E:/combine/013103.wav	邓小平与撒切尔会晤.	A female speaking Chinese with neutral emotion
E:/combine/013104.wav	老虎幼崽与宠物犬玩耍.	A female speaking Chinese with neutral emotion
E:/combine/013105.wav	身长约五尺二寸五分或以上.	A female speaking Chinese with neutral emotion
E:/combine/013106.wav	赵荻约曹云腾去鬼屋.	A female speaking Chinese with neutral emotion
E:/combine/013107.wav	展品虽有,展员却颓.	A female speaking Chinese with neutral emotion
E:/combine/013108.wav	以散居儿童和幼托儿童为主.	A female speaking Chinese with neutral emotion
E:/combine/013109.wav	柯特妮身穿豹纹大衣.	A female speaking Chinese with neutral emotion
